"kc","mH","totwidth","h1h1"
0.12115277,475.,2.248392055379955,0.5792767762541968
0.16259647,475.,2.5801285246845427,0.5047970630669594
0.21821715,475.,3.1768604990780136,0.4099774925509118
0.29286446,475.,4.250627787918013,0.3064115153291246
0.39304696,475.,6.183258451067586,0.21063995818760764
0.52749971,475.,9.662369378201687,0.1347952298878528
0.70794578,475.,15.926311239310179,0.08177921943289028
0.05011872,500.,2.2552409117242616,0.6859913474927752
0.06726324,500.,2.3154355477850745,0.6681575539576078
0.09027252,500.,2.423515576927566,0.6383601437032576
0.12115277,500.,2.617728898093816,0.5909992257338473
0.16259647,500.,2.966926641927266,0.5214405135914021
0.21821715,500.,3.595068189247332,0.4303327977426957
0.29286446,500.,4.725354272809692,0.32739889173106856
0.39304696,500.,6.759710847020209,0.22886714934508592
0.52749971,500.,10.421948191163564,0.14844400716425346
0.70794578,500.,17.015598777691736,0.09092102911963665
0.05011872,550.,3.0668374792562165,0.6904739865781343
0.06726324,550.,3.133052023774325,0.6758813720361653
0.09027252,550.,3.2519408545655604,0.6511715911180588
0.12115277,550.,3.46557694312635,0.6110300060396254
0.16259647,550.,3.8496970419890366,0.5500618561389912
0.21821715,550.,4.540657386141275,0.4663579126124774
0.29286446,550.,5.783980431115385,0.3661097276708655
0.39304696,550.,8.021787697076443,0.2639775048224014
0.52749971,550.,12.050275840350121,0.1757280520831419
0.70794578,550.,19.30334021401693,0.10969974507062945
0.05011872,600.,4.035718275546079,0.695158217076029
0.06726324,600.,4.107952693216559,0.6829345249477673
0.09027252,600.,4.237650262266217,0.6620326236052909
0.12115277,600.,4.4707090043129485,0.6275207619962063
0.16259647,600.,4.8897512533959295,0.573743443309384
0.21821715,600.,5.643530025967284,0.49711133069924934
0.29286446,600.,6.999889369425892,0.40078672290214185
0.39304696,600.,9.441146133961333,0.2971527695094176
0.52749971,600.,13.835882928416273,0.20276716242574241
0.70794578,600.,21.748357221961257,0.12899653488387688
0.05011872,650.,5.176232636351689,0.6996565348839157
0.06726324,650.,5.254486900016763,0.6892366579296859
0.09027252,650.,5.394993158562806,0.671286298918616
0.12115277,650.,5.647474466473022,0.6412751419422836
0.16259647,650.,6.101438708230129,0.5935624634265021
0.21821715,650.,6.918035625824462,0.5234990372966299
0.29286446,650.,8.387430757820862,0.4317871699537944
0.39304696,650.,11.032136103098066,0.328275952749156
0.52749971,650.,15.79311989645712,0.22931409460871152
0.70794578,650.,24.36500113504902,0.14863881885452676
0.05011872,700.,6.502859092986192,0.7038020389419932
0.06726324,700.,6.5871331813075225,0.6947977766084373
0.09027252,700.,6.738448091036763,0.6791957772419372
0.12115277,700.,7.01035189596397,0.6528524611198274
0.16259647,700.,7.4992380066084285,0.6102920702827545
0.21821715,700.,8.378652846556442,0.5462364382929599
0.29286446,700.,9.961083366416599,0.45946061489922135
0.39304696,700.,12.809236571278447,0.35729884939890566
0.52749971,700.,17.93646606531859,0.25516316714391957
0.70794578,700.,27.167751911580496,0.16846169324173066
0.05011872,750.,8.030114380664807,0.707542162454077
0.06726324,750.,8.12040827657167,0.6996747331093398
0.09027252,750.,8.28253180683346,0.6859791940625615
0.12115277,750.,8.573858053700283,0.6626706971428185
